,comicID,x1,x2,x3,gmmCluster,url
832,833,-19.124754,-4.4783583,12.616282,0,"=hyperlink(""https://xkcd.com/833/"")"
946,947,-16.081493,-5.2783766,19.839954,0,"=hyperlink(""https://xkcd.com/947/"")"
1917,1918,-14.891591,5.9495506,8.775877,0,"=hyperlink(""https://xkcd.com/1918/"")"
948,949,-17.840237,7.002065,19.548286,0,"=hyperlink(""https://xkcd.com/949/"")"
1916,1917,-17.134342,7.8679876,14.172421,0,"=hyperlink(""https://xkcd.com/1917/"")"
1278,1279,-18.85459,9.326369,19.64096,0,"=hyperlink(""https://xkcd.com/1279/"")"
678,679,-24.242136,5.371878,12.852071,0,"=hyperlink(""https://xkcd.com/679/"")"
131,132,-25.084648,-1.5964984,7.7072444,0,"=hyperlink(""https://xkcd.com/132/"")"
1533,1534,-18.697441,1.0495608,7.8495083,0,"=hyperlink(""https://xkcd.com/1534/"")"
861,862,-25.135866,2.7582376,18.215324,0,"=hyperlink(""https://xkcd.com/862/"")"
674,675,-10.392207,3.6629362,21.58909,0,"=hyperlink(""https://xkcd.com/675/"")"
673,674,-20.142698,-0.5704236,16.371725,0,"=hyperlink(""https://xkcd.com/674/"")"
233,234,-8.010718,2.1200356,12.013372,0,"=hyperlink(""https://xkcd.com/234/"")"
1897,1898,-12.0430765,4.3790216,10.850154,0,"=hyperlink(""https://xkcd.com/1898/"")"
671,672,-18.425587,2.705829,16.989067,0,"=hyperlink(""https://xkcd.com/672/"")"
566,567,-9.221137,0.07032879,15.916428,0,"=hyperlink(""https://xkcd.com/567/"")"
1348,1349,-13.101015,-0.48623303,18.704248,0,"=hyperlink(""https://xkcd.com/1349/"")"
790,791,-14.480764,4.5803504,15.735567,0,"=hyperlink(""https://xkcd.com/791/"")"
1333,1334,-17.227238,4.9241543,11.346575,0,"=hyperlink(""https://xkcd.com/1334/"")"
1540,1541,-20.002878,-2.881612,18.830484,0,"=hyperlink(""https://xkcd.com/1541/"")"
1356,1357,-12.949781,4.3946977,21.211363,0,"=hyperlink(""https://xkcd.com/1357/"")"
147,148,-26.754023,3.919309,13.981443,0,"=hyperlink(""https://xkcd.com/148/"")"
