,comicID,x1,x2,gmmCluster,url
1060,1061,-14.914537,61.791492,0,https://xkcd.com/1061/
925,926,21.058764,-26.180555,0,https://xkcd.com/926/
103,104,40.163456,-43.953964,0,https://xkcd.com/104/
1398,1399,-21.372675,7.9745393,0,https://xkcd.com/1399/
25,26,35.909523,11.478607,0,https://xkcd.com/26/
467,468,24.175491,29.317648,0,https://xkcd.com/468/
862,863,35.712635,-28.852076,0,https://xkcd.com/863/
468,469,38.040665,26.543716,0,https://xkcd.com/469/
1266,1267,-27.386076,-24.043465,0,https://xkcd.com/1267/
591,592,28.355644,-14.73027,0,https://xkcd.com/592/
800,801,-24.235636,-14.260802,0,https://xkcd.com/801/
1119,1120,11.464939,-42.313618,0,https://xkcd.com/1120/
1294,1295,-7.5602775,-1.2229931,0,https://xkcd.com/1295/
1902,1903,4.1669416,-51.488132,0,https://xkcd.com/1903/
544,545,-29.521254,49.76076,0,https://xkcd.com/545/
1512,1513,22.705736,-7.0767326,0,https://xkcd.com/1513/
1228,1229,4.553904,9.250797,0,https://xkcd.com/1229/
1464,1465,-33.479713,23.42119,0,https://xkcd.com/1465/
1431,1432,3.2979672,41.955746,0,https://xkcd.com/1432/
1457,1458,4.4751964,43.77014,0,https://xkcd.com/1458/
356,357,20.789999,-11.8447,0,https://xkcd.com/357/
979,980,-43.99966,17.250525,0,https://xkcd.com/980/
316,317,20.279482,-23.095049,0,https://xkcd.com/317/
385,386,29.622929,-10.81644,0,https://xkcd.com/386/
1646,1647,-3.290716,30.481386,0,https://xkcd.com/1647/
1008,1009,34.969,-3.2522643,0,https://xkcd.com/1009/
1495,1496,34.906982,-47.46984,0,https://xkcd.com/1496/
990,991,14.436837,8.587448,0,https://xkcd.com/991/
359,360,22.46561,-42.519306,0,https://xkcd.com/360/
1915,1916,5.964819,63.071156,0,https://xkcd.com/1916/
996,997,30.856562,16.236298,0,https://xkcd.com/997/
1224,1225,-59.956245,1.869312,0,https://xkcd.com/1225/
364,365,39.153057,-41.847706,0,https://xkcd.com/365/
637,638,-29.993067,5.7024026,0,https://xkcd.com/638/
927,928,-47.73788,-22.572458,0,https://xkcd.com/928/
280,281,42.095955,13.531754,0,https://xkcd.com/281/
279,280,42.026237,7.510369,0,https://xkcd.com/280/
1159,1160,-8.75391,16.112726,0,https://xkcd.com/1160/
91,92,36.582287,-49.09854,0,https://xkcd.com/92/
456,457,13.61191,18.294043,0,https://xkcd.com/457/
664,665,10.252491,14.959279,0,https://xkcd.com/665/
788,789,-16.152254,2.8636603,0,https://xkcd.com/789/
1947,1948,40.639046,-39.48642,0,https://xkcd.com/1948/
1580,1581,-33.074768,-25.109608,0,https://xkcd.com/1581/
2010,2011,-39.848946,30.977608,0,https://xkcd.com/2011/
1630,1631,-20.441288,36.396553,0,https://xkcd.com/1631/
1991,1992,-20.590954,46.28529,0,https://xkcd.com/1992/
1006,1007,-36.157974,48.180683,0,https://xkcd.com/1007/
1602,1603,-42.42657,-21.090462,0,https://xkcd.com/1603/
1200,1201,12.535772,43.983036,0,https://xkcd.com/1201/
1612,1613,-30.29152,27.08418,0,https://xkcd.com/1613/
583,584,3.543698,6.70048,0,https://xkcd.com/584/
443,444,-23.720348,-16.66461,0,https://xkcd.com/444/
1373,1374,57.216946,3.551192,0,https://xkcd.com/1374/
2006,2007,-57.069496,17.771486,0,https://xkcd.com/2007/
1901,1902,-40.51587,23.628277,0,https://xkcd.com/1902/
7,8,-49.527504,-15.227925,0,https://xkcd.com/8/
1548,1549,-33.529655,21.68328,0,https://xkcd.com/1549/
993,994,-8.40077,5.2111044,0,https://xkcd.com/994/
1933,1934,-31.184572,22.69101,0,https://xkcd.com/1934/
900,901,-30.047342,28.64447,0,https://xkcd.com/901/
459,460,25.598,-7.747459,0,https://xkcd.com/460/
597,598,-27.826988,-8.48858,0,https://xkcd.com/598/
1161,1162,-22.714403,41.11148,0,https://xkcd.com/1162/
1893,1894,-15.662561,-15.0894785,0,https://xkcd.com/1894/
1499,1500,-39.806156,24.095608,0,https://xkcd.com/1500/
772,773,-18.043657,33.482216,0,https://xkcd.com/773/
139,140,-34.92808,-7.155171,0,https://xkcd.com/140/
1215,1216,43.71166,-22.270447,0,https://xkcd.com/1216/
1270,1271,-33.027138,18.018581,0,https://xkcd.com/1271/
1550,1551,5.525983,58.48626,0,https://xkcd.com/1551/
954,955,36.24495,-29.509365,0,https://xkcd.com/955/
1925,1926,25.055191,-6.247688,0,https://xkcd.com/1926/
586,587,-26.858284,-20.17471,0,https://xkcd.com/587/
1405,1406,-10.698296,53.923824,0,https://xkcd.com/1406/
1132,1133,-30.150166,27.905542,0,https://xkcd.com/1133/
850,851,-12.492406,45.861553,0,https://xkcd.com/851/
822,823,-15.025939,2.938916,0,https://xkcd.com/823/
1658,1659,-20.544708,-12.261137,0,https://xkcd.com/1659/
948,949,46.133316,-30.167162,0,https://xkcd.com/949/
1576,1577,-46.106045,34.88057,0,https://xkcd.com/1577/
1679,1680,-40.174095,-15.839491,0,https://xkcd.com/1680/
1218,1219,-24.089613,-3.2306662,0,https://xkcd.com/1219/
1643,1644,-25.946127,-7.3822393,0,https://xkcd.com/1644/
255,256,15.27979,56.359783,0,https://xkcd.com/256/
766,767,32.382866,-48.28387,0,https://xkcd.com/767/
1763,1764,-8.174071,13.934289,0,https://xkcd.com/1764/
756,757,17.184355,-32.579998,0,https://xkcd.com/757/
